BHK,Rent,Size,Bathroom,Cluster,City,Area Type
2.0,10000.0,1100.0,2.0,1,Kolkata,Super Area
2.0,20000.0,800.0,1.0,1,Kolkata,Super Area
2.0,16999.999999999996,1000.0,1.0,1,Kolkata,Super Area
2.0,10000.0,800.0,1.0,1,Kolkata,Super Area
2.0,7500.0,850.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,600.0,2.0,1,Kolkata,Super Area
2.0,10000.0,700.0,2.0,1,Kolkata,Super Area
1.0,5000.0,250.0,1.0,1,Kolkata,Super Area
2.0,26000.0,800.0,2.0,2,Kolkata,Carpet Area
2.0,10000.0,1000.0,2.0,2,Kolkata,Carpet Area
3.0,25000.0,1200.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,400.0,1.0,2,Kolkata,Carpet Area
1.0,6500.0,250.0,1.0,2,Kolkata,Carpet Area
1.0,5500.0,375.0,1.0,2,Kolkata,Carpet Area
3.0,8499.999999999998,900.0,2.0,2,Kolkata,Carpet Area
3.0,40000.0,1286.0,2.0,2,Kolkata,Carpet Area
2.0,6000.0,600.0,1.0,1,Kolkata,Super Area
2.0,10000.0,800.0,1.0,1,Kolkata,Super Area
2.0,11000.0,2000.0,1.0,2,Kolkata,Carpet Area
2.0,6000.0,660.0,1.0,1,Kolkata,Super Area
2.0,7900.0,650.0,1.0,2,Kolkata,Carpet Area
2.0,9000.0,400.0,2.0,2,Kolkata,Carpet Area
1.0,4000.0000000000005,300.0,1.0,2,Kolkata,Carpet Area
3.0,6500.0,1600.0,1.0,1,Kolkata,Super Area
1.0,8000.0,400.0,1.0,1,Kolkata,Super Area
2.0,7000.0,1000.0,1.0,1,Kolkata,Super Area
1.0,5300.0,355.0,1.0,2,Kolkata,Carpet Area
2.0,6000.0,1000.0,1.0,1,Kolkata,Super Area
2.0,8499.999999999998,800.0,1.0,1,Kolkata,Super Area
2.0,12500.0,850.0,2.0,1,Kolkata,Super Area
1.0,7500.0,350.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,900.0,2.0,2,Kolkata,Carpet Area
2.0,6000.0,550.0,1.0,1,Kolkata,Super Area
2.0,5000.0,500.0,2.0,2,Kolkata,Carpet Area
3.0,22000.0,1100.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,850.0,1.0,2,Kolkata,Carpet Area
2.0,12500.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,7000.0,630.0,1.0,2,Kolkata,Carpet Area
2.0,21000.0,900.0,2.0,2,Kolkata,Carpet Area
1.0,10000.0,270.0,1.0,2,Kolkata,Carpet Area
2.0,7200.0,630.0,1.0,2,Kolkata,Carpet Area
3.0,12000.0,1500.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,600.0,1.0,1,Kolkata,Super Area
2.0,8499.999999999998,700.0,1.0,2,Kolkata,Carpet Area
1.0,6000.0,300.0,1.0,1,Kolkata,Super Area
2.0,10000.0,1300.0,2.0,1,Kolkata,Super Area
2.0,4600.0,400.0,1.0,2,Kolkata,Carpet Area
2.0,12000.0,650.0,2.0,1,Kolkata,Super Area
3.0,30000.0,2000.0,2.0,1,Kolkata,Super Area
3.0,15000.0,1068.0,2.0,1,Kolkata,Super Area
1.0,7500.0,150.0,1.0,1,Kolkata,Super Area
1.0,7500.0,450.0,1.0,2,Kolkata,Carpet Area
2.0,5000.0,800.0,1.0,2,Kolkata,Carpet Area
2.0,15000.0,1000.0,2.0,1,Kolkata,Super Area
2.0,11000.0,900.0,1.0,1,Kolkata,Super Area
1.0,7000.0,600.0,1.0,2,Kolkata,Carpet Area
2.0,6000.0,1200.0,1.0,1,Kolkata,Super Area
2.0,6000.0,1200.0,2.0,1,Kolkata,Super Area
2.0,7000.0,650.0,2.0,1,Kolkata,Super Area
2.0,8499.999999999998,720.0,2.0,2,Kolkata,Carpet Area
1.0,5000.0,300.0,1.0,2,Kolkata,Carpet Area
3.0,30000.0,1200.0,3.0000000000000004,2,Kolkata,Carpet Area
2.0,10000.0,700.0,2.0,2,Kolkata,Carpet Area
3.0,30000.0,2000.0,2.0,1,Kolkata,Super Area
1.0,3500.0000000000005,250.0,1.0,1,Kolkata,Super Area
2.0,8000.0,1100.0,1.0,2,Kolkata,Carpet Area
1.0,5000.0,300.0,1.0,2,Kolkata,Carpet Area
2.0,7500.0,600.0,1.0,1,Kolkata,Super Area
2.0,6500.0,800.0,1.0,2,Kolkata,Carpet Area
1.0,7500.0,680.0,1.0,1,Kolkata,Super Area
1.0,7500.0,680.0,1.0,1,Kolkata,Super Area
2.0,16000.0,850.0,1.0,2,Kolkata,Carpet Area
2.0,16000.0,850.0,1.0,2,Kolkata,Carpet Area
2.0,6500.0,700.0,1.0,1,Kolkata,Super Area
